2024-01-13 00-33-15-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.8225-ndcg: 0.7253244405121815-best_round: 27-optimizer: sgd-l2_regularization: 0.0-noise:0.0
2024-01-21 02-34-18-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.804375-ndcg: 0.6973220529092548-best_round: 5-optimizer: sgd-l2_regularization: 0.0-noise:0.1
2024-01-21 04-25-56-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.80875-ndcg: 0.7156630833098694-best_round: 18-optimizer: sgd-l2_regularization: 0.0-noise:0.2
2024-01-21 13-27-48-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.8125-ndcg: 0.7224679773685603-best_round: 30-optimizer: sgd-l2_regularization: 0.0-noise:0.3
2024-01-21 15-20-22-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.8075-ndcg: 0.7217103976748434-best_round: 29-optimizer: sgd-l2_regularization: 0.0-noise:0.4
2024-02-03 02-49-41-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.843125-ndcg: 0.7562217006268103-best_round: 99-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-02-04 14-44-46-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.819375-ndcg: 0.7290298345879065-best_round: 48-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-02-15 00-32-21-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.815625-ndcg: 0.7118493121201923-best_round: 34-optimizer: sgd-l2_regularization: 0.0noise: 0.4
2024-02-16 15-54-09-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.810625-ndcg: 0.7225332011138275-best_round: 74-optimizer: sgd-l2_regularization: 0.0noise: 0.2
2024-02-16 17-37-32-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.80875-ndcg: 0.7111797913056097-best_round: 34-optimizer: sgd-l2_regularization: 0.0noise: 0.3
2024-02-16 20-26-08-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.83965-ndcg: 0.7370448751363006-best_round: 33-optimizer: sgd-l2_regularization: 0.0noise: 0.5
2024-04-03 18-54-46-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.84375-ndcg: 0.7409216303967583-best_round: 34-optimizer: sgd-l2_regularization: 0.0noise: 0.1
2024-04-08 20-07-32-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.841525-ndcg: 0.7386798665727057-best_round: 34-optimizer: sgd-l2_regularization: 0.0noise: 0.2
2024-04-18 16-58-26-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.84035-ndcg: 0.7372653700656019-best_round: 34-optimizer: sgd-l2_regularization: 0.0noise: 0.3
2024-04-19 07-37-07-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.84125-ndcg: 0.736156047642295-best_round: 38-optimizer: sgd-l2_regularization: 0.0noise: 0.4
2024-04-23 06-41-31-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 250-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.803125-ndcg: 0.723647902656787-best_round: 247-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-04-23 16-48-38-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 350-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.8325-ndcg: 0.7588620981716963-best_round: 347-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-05-11 17-44-37-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.8475-ndcg: 0.7406797913056097-best_round: 99-optimizer: sgd-l2_regularization: 0.0noise: 0.0
