2024-01-07 04-42-24-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7301324503311258-ndcg: 0.44046013763711217-best_round: 89-optimizer: sgd-l2_regularization: 0.0
2024-01-14 08-16-13-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7294701986754967-ndcg: 0.43944750122020765-best_round: 77-optimizer: sgd-l2_regularization: 0.0
2024-01-19 05-46-50-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7346026490066225-ndcg: 0.44563885715799056-best_round: 99-optimizer: sgd-l2_regularization: 0.0
2024-01-22 05-57-25-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7245033112582782-ndcg: 0.4360598889279095-best_round: 95-optimizer: sgd-l2_regularization: 0.0noise: 0.3
2024-01-22 18-08-36-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7231788079470198-ndcg: 0.43992720966560167-best_round: 99-optimizer: sgd-l2_regularization: 0.0noise: 0.1
2024-01-23 20-55-15-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7326158940397351-ndcg: 0.44512970405957214-best_round: 99-optimizer: sgd-l2_regularization: 0.0noise: 0.2
2024-01-24 04-12-12-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7248344370860927-ndcg: 0.43847656398328316-best_round: 87-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-01-25 07-16-58-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7230132450331126-ndcg: 0.4367778413258492-best_round: 98-optimizer: sgd-l2_regularization: 0.0noise: 0.4
2024-02-03 23-04-32-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.6009933774834437-ndcg: 0.3419558832690584-best_round: 99-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-02-04 20-33-04-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.7092715231788079-ndcg: 0.4212026156083301-best_round: 98-optimizer: sgd-l2_regularization: 0.0noise: 0.0
2024-02-17 03-35-32-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.6910596026490067-ndcg: 0.40976389871324237-best_round: 98-optimizer: sgd-l2_regularization: 0.0noise: 0.1
2024-02-17 18-20-33-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.6894039735099338-ndcg: 0.40715925819923315-best_round: 95-optimizer: sgd-l2_regularization: 0.0noise: 0.2
2024-02-18 02-25-39-latent_dim: 32-lr: 0.1-clients_sample_ratio: 1.0-num_round: 100-negatives: 4-lr_eta: 80-batch_size: 256-hr: 0.6899006622516556-ndcg: 0.4066062960593659-best_round: 96-optimizer: sgd-l2_regularization: 0.0noise: 0.3
